graph,vars,clauses
g.26.31.gml.cnf, 1104, 22050
g.26.32.gml.cnf, 852, 19544
g.26.4.gml.cnf, 730, 18668
g.26.5.gml.cnf, 919, 20298
g.26.6.gml.cnf, 919, 19914
g.26.8.gml.cnf, 885, 20008
g.26.9.gml.cnf, 820, 19458
g.27.0.gml.cnf, 980, 22660
g.27.1.gml.cnf, 846, 21248
g.27.11.gml.cnf, 728, 18252
g.27.12.gml.cnf, 1053, 23122
g.27.14.gml.cnf, 1211, 24486
g.27.15.gml.cnf, 911, 22054
g.27.16.gml.cnf, 1340, 25610
g.27.3.gml.cnf, 728, 20500
g.27.4.gml.cnf, 945, 22464
g.27.7.gml.cnf, 728, 20260
g.27.9.gml.cnf, 756, 20514
g.28.1.gml.cnf, 1280, 26714
g.28.12.gml.cnf, 972, 24402
g.28.14.gml.cnf, 972, 24402
g.28.16.gml.cnf, 972, 24402
g.28.2.gml.cnf, 1118, 25590
g.28.20.gml.cnf, 12780, 124732
g.28.21.gml.cnf, 783, 22476
g.28.22.gml.cnf, 783, 20612
g.28.23.gml.cnf, 905, 23928
g.28.24.gml.cnf, 905, 23872
g.28.25.gml.cnf, 1323, 27262
g.28.26.gml.cnf, 1458, 27966
g.28.29.gml.cnf, 1973, 32488
g.28.3.gml.cnf, 1118, 25558
g.28.30.gml.cnf, 938, 24080
g.28.4.gml.cnf, 1007, 24750
g.28.5.gml.cnf, 1007, 24622
g.28.6.gml.cnf, 1043, 24868
g.28.7.gml.cnf, 812, 22924
g.28.8.gml.cnf, 783, 22628
g.28.9.gml.cnf, 783, 22548
g.29.1.gml.cnf, 1225, 28172
g.29.12.gml.cnf, 1185, 27854
g.29.13.gml.cnf, 840, 24384
g.29.14.gml.cnf, 1225, 28588
g.29.15.gml.cnf, 9996, 105638
g.29.16.gml.cnf, 1185, 26646
g.29.2.gml.cnf, 1108, 27224
g.29.3.gml.cnf, 1266, 28956
g.29.4.gml.cnf, 1108, 27648
g.29.5.gml.cnf, 1185, 28174
g.29.6.gml.cnf, 1035, 27026
g.29.7.gml.cnf, 1000, 26510
g.29.9.gml.cnf, 6621, 73014
g.30.0.gml.cnf, 1424, 32332
g.30.1.gml.cnf, 1515, 33054
g.30.11.gml.cnf, 1337, 31418
g.30.12.gml.cnf, 1100, 29116
g.30.15.gml.cnf, 1029, 29122
g.30.17.gml.cnf, 2450, 41338
g.30.19.gml.cnf, 899, 27942
g.30.2.gml.cnf, 1515, 33054
g.30.20.gml.cnf, 1175, 30510
g.30.23.gml.cnf, 1175, 30510
g.30.24.gml.cnf, 899, 27918
g.30.25.gml.cnf, 899, 27590
g.30.26.gml.cnf, 1295, 31536
g.30.28.gml.cnf, 1100, 29860
g.30.3.gml.cnf, 1469, 32660
g.30.31.gml.cnf, 2030, 38048
g.30.4.gml.cnf, 1254, 30712
g.30.5.gml.cnf, 1100, 29460
g.30.6.gml.cnf, 1029, 29210
g.30.8.gml.cnf, 1064, 29358
g.30.9.gml.cnf, 1295, 30624
g.31.0.gml.cnf, 1094, 31976
g.31.1.gml.cnf, 1130, 32382
g.31.2.gml.cnf, 1167, 32702
g.31.28.gml.cnf, 1059, 31748
g.31.29.gml.cnf, 3165, 49786
g.31.3.gml.cnf, 1167, 32478
g.31.31.gml.cnf, 1094, 32216
g.31.32.gml.cnf, 1367, 34596
g.31.34.gml.cnf, 1454, 35238
g.31.36.gml.cnf, 1367, 34548
g.31.37.gml.cnf, 1592, 36492
g.31.4.gml.cnf, 1244, 33268
g.31.6.gml.cnf, 1244, 33076
g.31.8.gml.cnf, 2234, 41944
g.31.9.gml.cnf, 2234, 41936
g.32.1.gml.cnf, 1398, 36634
g.32.10.gml.cnf, 1530, 38460
g.32.11.gml.cnf, 1485, 37540
g.32.12.gml.cnf, 1236, 35670
g.32.13.gml.cnf, 1236, 35854
g.32.14.gml.cnf, 1530, 38188
g.32.15.gml.cnf, 1161, 35188
g.32.17.gml.cnf, 1023, 30752
g.32.18.gml.cnf, 1090, 34802
g.32.19.gml.cnf, 1315, 34952
g.32.2.gml.cnf, 1441, 37150
g.32.20.gml.cnf, 2325, 45284
g.32.21.gml.cnf, 2325, 45292
g.32.22.gml.cnf, 1275, 36186
g.32.23.gml.cnf, 1090, 34522
g.32.25.gml.cnf, 8880, 100840
g.32.27.gml.cnf, 1023, 33424
g.32.28.gml.cnf, 7516, 88526
g.32.5.gml.cnf, 1236, 36070
g.32.6.gml.cnf, 1023, 34232
g.32.8.gml.cnf, 1023, 34224
g.32.9.gml.cnf, 1023, 33584
g.33.0.gml.cnf, 1752, 42664
g.33.1.gml.cnf, 1655, 41890
g.33.10.gml.cnf, 11405, 126550
g.33.12.gml.cnf, 1230, 37508
g.33.16.gml.cnf, 2607, 50072
g.33.2.gml.cnf, 1473, 40510
g.33.3.gml.cnf, 1388, 39672
g.33.4.gml.cnf, 1307, 39178
g.33.5.gml.cnf, 1193, 37564
g.33.6.gml.cnf, 1347, 39600
g.33.7.gml.cnf, 1268, 38782
g.33.8.gml.cnf, 9173, 106750
g.34.1.gml.cnf, 1506, 43902
g.34.12.gml.cnf, 1155, 40746
g.34.13.gml.cnf, 1263, 41244
g.34.17.gml.cnf, 2100, 48266
g.34.18.gml.cnf, 2975, 54620
g.34.2.gml.cnf, 1506, 43902
g.34.3.gml.cnf, 1595, 44668
g.34.4.gml.cnf, 1550, 44180
g.34.7.gml.cnf, 1155, 40578
g.34.8.gml.cnf, 1595, 44764
g.34.9.gml.cnf, 1463, 43514
g.35.0.gml.cnf, 1584, 46962
g.35.1.gml.cnf, 1497, 46488
g.35.10.gml.cnf, 1414, 46246
g.35.12.gml.cnf, 1224, 44156
g.35.15.gml.cnf, 2940, 59090
g.35.2.gml.cnf, 1819, 49494
g.35.20.gml.cnf, 1224, 43684
g.35.23.gml.cnf, 2079, 51764
g.35.24.gml.cnf, 1297, 44618
g.35.25.gml.cnf, 1297, 44658
g.35.26.gml.cnf, 1629, 47890
g.35.27.gml.cnf, 2247, 53374
g.35.3.gml.cnf, 1819, 49726
g.35.32.gml.cnf, 5644, 81426
g.35.4.gml.cnf, 1584, 47498
g.35.7.gml.cnf, 1497, 46672
g.35.9.gml.cnf, 11034, 129654
g.36.0.gml.cnf, 1710, 51718
g.36.1.gml.cnf, 1619, 50932
g.36.15.gml.cnf, 1295, 44620
g.36.16.gml.cnf, 5285, 81392
g.36.17.gml.cnf, 3869, 68512
g.36.18.gml.cnf, 1757, 52586
g.36.19.gml.cnf, 1757, 52586
g.36.22.gml.cnf, 2709, 59784
g.36.23.gml.cnf, 1370, 49102
g.36.29.gml.cnf, 1370, 49110
g.36.3.gml.cnf, 1664, 51436
g.36.4.gml.cnf, 1854, 52504
g.36.5.gml.cnf, 1854, 52576
g.36.7.gml.cnf, 1575, 50646
g.36.8.gml.cnf, 1955, 53838
g.36.9.gml.cnf, 1370, 48654
g.37.1.gml.cnf, 1841, 56620
g.37.12.gml.cnf, 1655, 54736
g.37.14.gml.cnf, 1940, 57390
g.37.15.gml.cnf, 1890, 56420
g.37.17.gml.cnf, 1991, 56954
g.37.18.gml.cnf, 1940, 56470
g.37.19.gml.cnf, 2618, 63482
g.37.2.gml.cnf, 1841, 56564
g.37.20.gml.cnf, 3591, 71800
g.37.3.gml.cnf, 1991, 57994
g.37.4.gml.cnf, 2096, 58080
g.37.5.gml.cnf, 1611, 54738
g.37.6.gml.cnf, 1568, 54374
g.37.8.gml.cnf, 3080, 67776
g.37.9.gml.cnf, 1655, 54736
g.38.12.gml.cnf, 2913, 69858
g.38.15.gml.cnf, 2298, 64184
g.38.16.gml.cnf, 1830, 60178
g.38.17.gml.cnf, 1443, 56606
g.38.19.gml.cnf, 1443, 56558
g.38.2.gml.cnf, 1443, 56326
g.38.20.gml.cnf, 2028, 61134
g.38.21.gml.cnf, 2593, 66076
g.38.3.gml.cnf, 1737, 59404
g.38.4.gml.cnf, 1783, 59622
g.38.5.gml.cnf, 2355, 64216
g.38.6.gml.cnf, 2413, 65618
g.38.7.gml.cnf, 1443, 56942
g.38.8.gml.cnf, 1563, 57816
g.38.9.gml.cnf, 1977, 61266
g.39.0.gml.cnf, 1520, 60908
g.39.1.gml.cnf, 2015, 64836
g.39.23.gml.cnf, 1965, 64946
g.39.26.gml.cnf, 1965, 65570
g.39.28.gml.cnf, 2280, 68332
g.39.29.gml.cnf, 1965, 65394
g.39.30.gml.cnf, 2885, 72402
g.39.4.gml.cnf, 2171, 67054
g.39.44.gml.cnf, 3441, 78378
g.39.45.gml.cnf, 1560, 61202
g.39.46.gml.cnf, 2015, 65244
g.39.47.gml.cnf, 2015, 65172
g.39.53.gml.cnf, 2693, 71448
g.39.56.gml.cnf, 1965, 65442
g.39.57.gml.cnf, 2631, 71110
g.39.7.gml.cnf, 15965, 186560
g.39.8.gml.cnf, 15965, 186560
g.39.9.gml.cnf, 6518, 102952
g.40.0.gml.cnf, 1599, 62496
g.40.12.gml.cnf, 2054, 70490
g.40.13.gml.cnf, 1955, 69592
g.40.16.gml.cnf, 2054, 70314
g.40.17.gml.cnf, 2004, 69968
g.40.18.gml.cnf, 1907, 69170
g.40.19.gml.cnf, 3554, 83530
g.40.20.gml.cnf, 2319, 72770
g.40.21.gml.cnf, 1599, 64712
g.40.22.gml.cnf, 3480, 82792
g.40.27.gml.cnf, 1599, 62720
g.40.3.gml.cnf, 1599, 65744
g.40.5.gml.cnf, 2432, 73024
g.40.7.gml.cnf, 2054, 69994
g.40.8.gml.cnf, 9557, 138116
g.40.9.gml.cnf, 2670, 75012
g.41.0.gml.cnf, 1765, 71302
g.41.1.gml.cnf, 2250, 76212
g.41.12.gml.cnf, 1854, 72932
g.41.13.gml.cnf, 3520, 87072
g.41.2.gml.cnf, 2415, 77800
g.41.25.gml.cnf, 5869, 101180
g.41.26.gml.cnf, 4305, 88190
g.41.3.gml.cnf, 2044, 74368
g.41.36.gml.cnf, 3745, 87964
g.41.4.gml.cnf, 1680, 71376
g.41.7.gml.cnf, 2094, 74946
g.41.9.gml.cnf, 2772, 78590
g.42.0.gml.cnf, 2690, 84036
g.42.1.gml.cnf, 2751, 84540
g.42.15.gml.cnf, 4515, 101124
g.42.2.gml.cnf, 2690, 83980
g.42.20.gml.cnf, 4020, 95978
g.42.21.gml.cnf, 2630, 84542
g.42.23.gml.cnf, 2876, 84114
g.42.25.gml.cnf, 2036, 79120
g.42.26.gml.cnf, 2036, 79120
g.42.27.gml.cnf, 1806, 76438
g.42.3.gml.cnf, 2690, 83980
g.42.32.gml.cnf, 3005, 87984
g.42.34.gml.cnf, 4865, 104200
g.42.4.gml.cnf, 2456, 82720
g.42.5.gml.cnf, 6965, 121238
g.42.7.gml.cnf, 2085, 79096
g.42.8.gml.cnf, 5046, 101190
g.42.9.gml.cnf, 1941, 78078
g.43.0.gml.cnf, 2555, 85950
g.43.1.gml.cnf, 2280, 83650
g.43.12.gml.cnf, 2030, 83264
g.43.14.gml.cnf, 2030, 83880
g.43.15.gml.cnf, 1848, 79388
g.43.17.gml.cnf, 3113, 93304
g.43.18.gml.cnf, 1848, 80468
g.43.19.gml.cnf, 2387, 86964
g.43.20.gml.cnf, 1892, 82802
g.43.23.gml.cnf, 1937, 83202
g.43.24.gml.cnf, 1848, 81260
g.43.25.gml.cnf, 1848, 81260
g.43.26.gml.cnf, 1848, 81260
g.43.3.gml.cnf, 18857, 232626
g.43.5.gml.cnf, 2127, 84782
g.43.6.gml.cnf, 2280, 86234
g.43.7.gml.cnf, 2442, 87680
g.43.8.gml.cnf, 2613, 89128
g.43.9.gml.cnf, 2333, 86674
g.44.0.gml.cnf, 2598, 92928
g.44.1.gml.cnf, 2898, 95782
g.44.10.gml.cnf, 2376, 92164
g.44.11.gml.cnf, 2541, 93632
g.44.14.gml.cnf, 2485, 93090
g.44.15.gml.cnf, 2715, 95110
g.44.16.gml.cnf, 4266, 108592
g.44.19.gml.cnf, 4105, 106826
g.44.20.gml.cnf, 5410, 118038
g.44.21.gml.cnf, 1935, 87148
g.44.22.gml.cnf, 2836, 95932
g.44.3.gml.cnf, 2775, 95060
g.44.4.gml.cnf, 1935, 87844
g.44.5.gml.cnf, 2430, 90190
g.44.7.gml.cnf, 2715, 94990
g.44.9.gml.cnf, 2220, 90674
g.45.0.gml.cnf, 2819, 101040
g.45.1.gml.cnf, 2165, 94148
g.45.4.gml.cnf, 2165, 94148
g.45.5.gml.cnf, 2642, 99652
g.45.7.gml.cnf, 2117, 95070
g.45.8.gml.cnf, 2700, 99062
g.45.9.gml.cnf, 2070, 94258
g.46.11.gml.cnf, 2987, 108518
g.46.12.gml.cnf, 2309, 102242
g.46.16.gml.cnf, 3050, 108138
g.46.17.gml.cnf, 3050, 108138
g.46.19.gml.cnf, 3590, 113826
g.46.3.gml.cnf, 15399, 223088
g.46.4.gml.cnf, 3519, 111806
g.46.5.gml.cnf, 2864, 106868
g.46.6.gml.cnf, 2259, 101024
g.46.9.gml.cnf, 2987, 108318
g.47.1.gml.cnf, 3358, 116976
g.47.15.gml.cnf, 2208, 107260
g.47.16.gml.cnf, 3225, 115914
g.47.17.gml.cnf, 2406, 108728
g.47.2.gml.cnf, 3096, 115100
g.47.23.gml.cnf, 2565, 110136
g.47.25.gml.cnf, 3225, 115570
g.47.26.gml.cnf, 3708, 120730
g.47.27.gml.cnf, 4320, 126138
g.47.3.gml.cnf, 2910, 113670
g.47.30.gml.cnf, 5736, 138210
g.47.32.gml.cnf, 2256, 107418
g.47.5.gml.cnf, 2971, 114230
g.47.6.gml.cnf, 2791, 112612
g.47.7.gml.cnf, 3096, 115284
g.47.8.gml.cnf, 3096, 115284
g.47.9.gml.cnf, 3096, 115340
g.48.0.gml.cnf, 3405, 123638
g.48.10.gml.cnf, 2558, 116316
g.48.16.gml.cnf, 3473, 124596
g.48.18.gml.cnf, 2505, 115708
g.48.19.gml.cnf, 3272, 122072
g.48.23.gml.cnf, 2303, 113800
g.48.24.gml.cnf, 2352, 114352
g.48.29.gml.cnf, 2352, 114360
g.48.3.gml.cnf, 3828, 127256
g.48.31.gml.cnf, 2352, 114464
g.48.35.gml.cnf, 2303, 114032
g.48.4.gml.cnf, 3207, 122192
g.48.6.gml.cnf, 2897, 119662
g.48.8.gml.cnf, 2957, 120156
g.48.9.gml.cnf, 3542, 122676
g.49.11.gml.cnf, 6225, 152940
g.49.12.gml.cnf, 6225, 152940
g.49.16.gml.cnf, 4578, 141346
g.49.17.gml.cnf, 2660, 122766
g.49.19.gml.cnf, 3320, 129576
g.49.5.gml.cnf, 3386, 129666
g.49.6.gml.cnf, 2606, 122924
g.49.8.gml.cnf, 3128, 126158
g.49.9.gml.cnf, 2660, 123654
g.50.7.gml.cnf, 4150, 138124
g.50.8.gml.cnf, 2499, 128762
g.50.9.gml.cnf, 3709, 139294
g.51.0.gml.cnf, 3044, 140348
g.51.2.gml.cnf, 3689, 146162
g.51.4.gml.cnf, 2600, 136596
g.51.5.gml.cnf, 3227, 142612
g.52.0.gml.cnf, 3155, 148756
g.52.1.gml.cnf, 2921, 147000
g.52.2.gml.cnf, 3341, 150810
g.52.3.gml.cnf, 2703, 142428
g.52.4.gml.cnf, 2810, 144198
g.53.13.gml.cnf, 4863, 171722
g.53.3.gml.cnf, 3522, 159540
g.53.5.gml.cnf, 22287, 327264
g.53.6.gml.cnf, 4303, 167032
g.53.9.gml.cnf, 6528, 187760
g.54.0.gml.cnf, 3845, 170468
g.54.1.gml.cnf, 6683, 197014
g.54.2.gml.cnf, 3260, 165148
g.54.3.gml.cnf, 4058, 171752
g.54.6.gml.cnf, 2915, 159630
g.54.7.gml.cnf, 3200, 164502
g.54.8.gml.cnf, 3845, 170620
g.55.0.gml.cnf, 3564, 175498
g.55.13.gml.cnf, 7155, 209660
g.55.23.gml.cnf, 7155, 209644
g.55.24.gml.cnf, 7155, 209644
g.55.26.gml.cnf, 3695, 177492
g.55.30.gml.cnf, 10130, 228448
g.55.32.gml.cnf, 4970, 187688
g.55.33.gml.cnf, 4185, 181042
g.55.6.gml.cnf, 7812, 212522
g.55.8.gml.cnf, 7155, 209644
g.55.9.gml.cnf, 7155, 209660
g.56.0.gml.cnf, 3135, 180352
g.56.1.gml.cnf, 4542, 193716
g.56.10.gml.cnf, 5817, 204484
g.56.11.gml.cnf, 4167, 190128
g.56.2.gml.cnf, 7317, 219606
g.56.3.gml.cnf, 7317, 219590
g.56.4.gml.cnf, 6999, 214736
g.56.5.gml.cnf, 4942, 196818
g.56.7.gml.cnf, 5025, 196614
g.56.9.gml.cnf, 4314, 190666
g.57.0.gml.cnf, 4676, 202838
g.57.14.gml.cnf, 7811, 233026
g.57.15.gml.cnf, 7811, 233026
g.57.18.gml.cnf, 5165, 207028
g.57.19.gml.cnf, 3248, 187656
g.57.21.gml.cnf, 3248, 187808
g.57.22.gml.cnf, 6746, 220820
g.57.23.gml.cnf, 3740, 194248
g.57.26.gml.cnf, 30998, 438074
g.57.27.gml.cnf, 20901, 351468
g.57.28.gml.cnf, 6446, 219002
g.57.29.gml.cnf, 6951, 223650
g.57.5.gml.cnf, 15456, 297262
g.57.6.gml.cnf, 4755, 204394
g.57.8.gml.cnf, 7811, 233026
g.57.9.gml.cnf, 7811, 233026
g.58.0.gml.cnf, 5138, 215110
g.58.10.gml.cnf, 7430, 237278
g.58.3.gml.cnf, 7980, 243680
g.58.4.gml.cnf, 5747, 220418
g.58.6.gml.cnf, 4280, 207536
g.58.7.gml.cnf, 3363, 197858
g.58.9.gml.cnf, 8207, 243306
g.59.0.gml.cnf, 5365, 227666
g.59.12.gml.cnf, 8496, 257922
g.59.14.gml.cnf, 5451, 228124
g.59.2.gml.cnf, 9336, 257092
g.59.9.gml.cnf, 8496, 257922
g.60.0.gml.cnf, 6140, 244044
g.60.1.gml.cnf, 8672, 269324
g.60.16.gml.cnf, 8555, 268220
g.60.9.gml.cnf, 8555, 268220
g.61.11.gml.cnf, 8732, 280080
g.61.15.gml.cnf, 9089, 283292
g.61.2.gml.cnf, 5657, 249694
g.61.25.gml.cnf, 9089, 283292
g.61.3.gml.cnf, 6680, 258670
g.61.31.gml.cnf, 8850, 281154
g.61.32.gml.cnf, 8850, 281154
g.61.35.gml.cnf, 3720, 230128
g.61.39.gml.cnf, 3909, 231812
g.61.4.gml.cnf, 8732, 279976
g.61.40.gml.cnf, 3909, 231812
g.61.54.gml.cnf, 5069, 244556
g.61.55.gml.cnf, 5069, 244556
g.61.7.gml.cnf, 8850, 281154
g.61.8.gml.cnf, 8732, 280080
g.61.9.gml.cnf, 9089, 283292
g.62.0.gml.cnf, 8218, 281000
g.62.1.gml.cnf, 4305, 246996
g.62.2.gml.cnf, 8911, 292206
g.62.3.gml.cnf, 9271, 295448
g.62.4.gml.cnf, 9030, 293290
g.62.5.gml.cnf, 4101, 244610
g.62.6.gml.cnf, 3906, 242898
g.62.7.gml.cnf, 4035, 243144
g.63.0.gml.cnf, 5273, 268474
g.63.1.gml.cnf, 5522, 270702
g.63.18.gml.cnf, 9455, 308108
g.63.22.gml.cnf, 7308, 287868
g.63.8.gml.cnf, 9455, 308108
g.63.9.gml.cnf, 9455, 308108
g.64.14.gml.cnf, 4430, 271924
g.64.16.gml.cnf, 4430, 271924
g.64.17.gml.cnf, 6386, 289084
g.64.18.gml.cnf, 20736, 426048
g.64.7.gml.cnf, 11195, 328810
g.64.8.gml.cnf, 9641, 321022
g.64.9.gml.cnf, 4430, 271924
g.65.0.gml.cnf, 11395, 342240
g.65.1.gml.cnf, 4635, 282258
g.66.3.gml.cnf, 7094, 319678
g.66.6.gml.cnf, 12014, 363444
g.66.7.gml.cnf, 6149, 306824
g.66.8.gml.cnf, 6149, 306824
g.67.0.gml.cnf, 4488, 300252
g.67.1.gml.cnf, 6488, 326458
g.68.1.gml.cnf, 4692, 321084
g.68.4.gml.cnf, 4833, 320322
g.69.0.gml.cnf, 4760, 336456
g.69.1.gml.cnf, 5915, 347456
g.69.2.gml.cnf, 5046, 335380
g.69.3.gml.cnf, 4760, 331432
g.69.4.gml.cnf, 4760, 331432
g.69.5.gml.cnf, 4760, 331432
g.69.7.gml.cnf, 7196, 356814
g.70.1.gml.cnf, 9674, 393848
g.71.2.gml.cnf, 5565, 366128
g.71.5.gml.cnf, 6312, 378492
g.72.0.gml.cnf, 5183, 362952
g.73.4.gml.cnf, 8622, 429116
g.73.7.gml.cnf, 5708, 398134
g.73.8.gml.cnf, 7880, 419462
g.73.9.gml.cnf, 6905, 412372
g.74.1.gml.cnf, 6441, 422718
g.74.2.gml.cnf, 9370, 447310
g.74.4.gml.cnf, 5781, 415950
g.74.5.gml.cnf, 6616, 424264
g.75.0.gml.cnf, 6602, 439768
g.75.1.gml.cnf, 8234, 455966
g.75.2.gml.cnf, 5624, 425764
g.75.3.gml.cnf, 6779, 441334
g.75.4.gml.cnf, 7527, 448998
g.75.5.gml.cnf, 5624, 430588
g.75.6.gml.cnf, 5624, 430932
g.75.7.gml.cnf, 5624, 430932
g.76.1.gml.cnf, 8627, 473886
g.76.2.gml.cnf, 5775, 430884
g.76.4.gml.cnf, 8954, 472046
g.77.0.gml.cnf, 5928, 461592
g.77.1.gml.cnf, 5928, 460664
g.77.2.gml.cnf, 6085, 461918
g.77.5.gml.cnf, 8920, 494848
g.77.6.gml.cnf, 6165, 465044
g.78.0.gml.cnf, 6083, 482230
g.78.3.gml.cnf, 6323, 486448
g.79.0.gml.cnf, 7736, 516930
g.79.1.gml.cnf, 6320, 491106
g.79.3.gml.cnf, 6320, 502210
g.79.5.gml.cnf, 9635, 528348
g.79.6.gml.cnf, 6821, 504016
g.79.7.gml.cnf, 14106, 572150
g.80.1.gml.cnf, 7719, 534570
g.80.4.gml.cnf, 7719, 534530
g.80.5.gml.cnf, 8830, 545874
g.80.6.gml.cnf, 6399, 521648
g.81.0.gml.cnf, 8090, 556266
g.81.15.gml.cnf, 6809, 544780
g.81.16.gml.cnf, 6560, 539376
g.81.5.gml.cnf, 7704, 552302
g.81.9.gml.cnf, 16769, 633316
g.82.1.gml.cnf, 6806, 563334
g.82.4.gml.cnf, 17015, 654380
g.82.5.gml.cnf, 17015, 654284
g.83.3.gml.cnf, 6888, 583388
g.84.0.gml.cnf, 8141, 615488
g.84.1.gml.cnf, 11360, 644740
g.84.2.gml.cnf, 7313, 602546
g.85.1.gml.cnf, 12347, 674640
g.85.2.gml.cnf, 18620, 734104
g.85.3.gml.cnf, 8420, 635982
g.85.8.gml.cnf, 8420, 635982
g.86.0.gml.cnf, 11035, 682528
g.86.1.gml.cnf, 7659, 646360
g.86.2.gml.cnf, 11280, 679550
g.86.3.gml.cnf, 21799, 779982
g.86.4.gml.cnf, 21799, 779982
g.86.5.gml.cnf, 13107, 703176
g.87.0.gml.cnf, 11490, 702710
g.87.4.gml.cnf, 21885, 802032
g.87.5.gml.cnf, 21885, 802032
g.87.6.gml.cnf, 7656, 670210
g.88.0.gml.cnf, 8198, 692372
g.88.2.gml.cnf, 7743, 688848
g.89.0.gml.cnf, 8380, 716942
g.89.1.gml.cnf, 8475, 717194
g.90.0.gml.cnf, 13874, 796540
g.90.1.gml.cnf, 15480, 812962
g.90.2.gml.cnf, 8099, 742018
g.90.3.gml.cnf, 8099, 737362
g.91.0.gml.cnf, 8465, 765210
g.91.1.gml.cnf, 8280, 766932
g.92.0.gml.cnf, 22906, 930056
g.92.1.gml.cnf, 14481, 847770
g.92.3.gml.cnf, 8463, 793220
g.92.4.gml.cnf, 8463, 788804
g.93.0.gml.cnf, 8742, 815578
g.94.0.gml.cnf, 9026, 843344
g.94.2.gml.cnf, 19770, 949114
g.94.3.gml.cnf, 14955, 894328
g.95.0.gml.cnf, 12090, 902440
g.95.1.gml.cnf, 13375, 914622
g.95.2.gml.cnf, 9024, 872804
g.95.3.gml.cnf, 9514, 877262
g.96.2.gml.cnf, 17762, 979474
g.96.3.gml.cnf, 9812, 901318
g.96.4.gml.cnf, 9410, 896162
g.96.5.gml.cnf, 9410, 898290
g.96.9.gml.cnf, 9215, 898848
g.97.1.gml.cnf, 18185, 1011860
g.99.0.gml.cnf, 16940, 1055972
g.99.1.gml.cnf, 16326, 1050416
g.99.2.gml.cnf, 16326, 1050416
